Index,PIT_tag
1,3D9.1C2D261748
2,3D9.1C2D269A99
3,3D9.2794D84B97
4,3D9.2794D84B97
5,3D9.2794DB5085
6,3D9.2794DB6309
7,3D9.2794DB704C
8,3D9.2794DBE3D4
9,3D9.2794DC103B
10,3D9.2794E7B633
11,3D9.2794E7B677
12,3D9.2794E7B773
13,3D9.2794E7B7FD
14,3D9.2794E7B9B6
15,3D9.2794E7BA8F
16,3D9.2794E7C3E9
17,3D9.2794E7C577
18,3D9.2794E7E234
19,3D9.2794E7E9F1
20,3D9.2794E7EE4B
21,3D9.2794E8350F
22,3D9.2794E839EB
23,3D9.2794E83B53
24,3D9.2794E85725
25,3D9.2794E85B92
26,3D9.2794E85DD1
27,3D9.2794E86028
28,3D9.2794E8626E
29,3D9.2794E86280
30,3D9.2794E864CC
31,3D9.2794E86DCA
32,3D9.2794E86E17
33,3D9.2794E86FCE
34,3D9.2794E87B0D
35,3D9.2794E87B63
36,3D9.2794E886C4
37,3D9.2794E893C5
38,3D9.2794E89517
39,3D9.2794E8980C
40,3D9.2794E89B0E
41,3D9.2794E89B68
42,3D9.2794E89BA0
43,3D9.2794E89BC9
44,3D9.2794E89EFD
45,3D9.2794E8A4A1
46,3D9.2794E8A5CA
47,3D9.2794E8A6DE
48,3D9.2794E8A7B2
49,3D9.2794E8ACE9
50,3D9.2794E8B044
51,3D9.2794E8B7B6
52,3D9.2794E8BA14
53,3D9.2794E8BD1A
54,3D9.2794E8C094
55,3D9.2794E8C213
56,3D9.2794E8C3FF
57,3D9.2794E8C6D4
58,3D9.2794E8C969
59,3D9.2794E8CEAA
60,3D9.2794E8DC68
61,3D9.2794E90780
62,3D9.2794E911C9
63,3D9.2794E9120F
64,3D9.2794E91626
65,3D9.2794E91A96
66,3D9.2794E91AFD
67,3D9.2794E91D69
68,3D9.2794E91E46
69,3D9.2794E92038
70,3D9.2794E92201
71,3D9.2794E92551
72,3D9.2794E9265E
73,3D9.2794E92882
74,3D9.2794E92B7D
75,3D9.2794E936B1
76,3D9.2794E946BB
77,3D9.2794E94839
78,3D9.2794E956A8
79,3D9.2794E9641E
80,3D9.2794E96585
81,3D9.2794E965B2
82,3D9.2794E96993
83,3D9.2794E96AFC
84,3D9.2794E96BCD
85,3D9.2794E96CFB
86,3D9.2794E96E97
87,3D9.2794E9713B
88,3D9.2794E97741
89,3D9.2794E98033
90,3D9.2794E9864E
91,3D9.2794E987B5
92,3D9.2794E98C40
93,3D9.2794E99DFC
94,3D9.2794E9A1B3
95,3D9.2794E9A626
96,3D9.2794E9AF35
97,3D9.2794E9B1F5
98,3D9.2794E9B4AC
99,3D9.2794E9B74C
100,3D9.2794E9BC45
101,3D9.2794E9BC7C
102,3D9.2794E9C9E6
103,3D9.2794E9D0E3
104,3D9.2794E9D84A
105,3D9.2794E9D929
106,3D9.2794E9E1B9
107,3D9.2794E9E542
108,3D9.2794E9E706
109,3D9.2794E9EB15
110,3D9.2794E9F40D
111,3D9.2794E9F52C
112,3D9.2794E9F805
113,3D9.2794E9F8B3
114,3D9.2794E9F973
115,3D9.2794E9FCDB
116,3D9.2794E9FD10
117,3D9.2794E9FE2C
118,3D9.2794E9FE9A
119,3D9.2794E9FF2D
120,3D9.2794EA030F
121,3D9.2794EA0874
122,3D9.2794EA088D
123,3D9.2794EA08DB
124,3D9.2794EA0C0E
125,3D9.2794EA1304
126,3D9.2794EA13E5
127,3D9.2794EA1450
128,3D9.2794EA1BC8
129,3D9.2794EA645A
130,3D9.2794EA6539
131,3D9.2794EA66D8
132,3D9.2794EA6C12
133,3D9.2794EA6DA7
134,3D9.2794EA879F
135,3D9.2794EACBCA
136,3D9.2794EACBFD
137,3D9.2794EAE332
138,3D9.2794EAE5EA
139,3D9.2794EAE825
140,3D9.2794EAE837
141,3D9.2794EAED0A
142,3D9.2794EAFB9E
143,3D9.2794EB03B0
144,3D9.2794EB041D
145,3D9.2794EB041F
146,3D9.2794EB091C
147,3D9.2794EB0E33
148,3D9.2794EB0EA4
149,3D9.2794EB106B
150,3D9.2794EB13ED
151,3D9.2794EB15B5
152,3D9.2794EB16FB
153,3D9.2794EB180A
154,3D9.2794EB193C
155,3D9.2794EB4BA1
156,3D9.2794EB4BC7
157,3DD.003BB9A71F
158,3DD.003BB9A721
159,3DD.003BB9A722
160,3DD.003BB9A724
161,3DD.003BB9A726
162,3DD.003BB9A727
163,3DD.003BB9A728
164,3DD.003BB9A72A
165,3DD.003BB9A72E
166,3DD.003BB9A732
167,3DD.003BB9A733
168,3DD.003BB9A735
169,3DD.003BB9A736
170,3DD.003BB9A738
171,3DD.003BB9A73C
172,3DD.003BB9A73F
173,3DD.003BB9A741
174,3DD.003BB9A742
175,3DD.003BB9A747
176,3DD.003BB9A749
177,3DD.003BB9A74C
178,3DD.003BB9A74E
179,3DD.003BB9A754
180,3DD.003BB9A758
181,3DD.003BB9A75C
182,3DD.003BB9A75D
183,3DD.003BB9A75E
184,3DD.003BB9A75F
185,3DD.003BB9A762
186,3DD.003BB9A764
187,3DD.003BB9A767
188,3DD.003BB9A768
