"","week","day","tag","n"
"1",22,1,"3D6.00088CECD0",3
"2",22,1,"3DD.003BA07BC7",4
"3",22,1,"3DD.003BA0807A",260
"4",22,1,"3DD.003BA20BDF",3
"5",22,2,"3D9.1C2DA3DD2D",3
"6",22,2,"3D9.2794E7C3E9",2
"7",22,2,"3D9.2794E839EB",1
"8",22,2,"3DD.003BB9A752",1
"9",22,2,"3DD.003BB9AF5A",2
"10",22,3,"3D6.00088D0EFC",5
"11",22,3,"3D9.2794EA1738",1
"12",22,3,"3DD.003BB9A724",6
"13",23,4,"3D9.2794EA0A71",36
"14",23,4,"3DD.003BB9A724",7
"15",23,4,"3DD.003BB9A77F",3
"16",23,4,"3DD.003BB9AEA3",1
"17",23,5,"3D9.2794E97E48",4
"18",23,5,"3DD.003BA0807A",5
"19",23,5,"3DD.003BA20F8C",3
"20",23,5,"3DD.003BB9A735",4
"21",23,6,"3D6.00088D2D94",9
"22",23,6,"3DD.003BA0801F",506
"23",23,7,"3DD.003BA0801F",112
"24",23,9,"3D9.2794E89517",1
"25",23,9,"3DD.003BA20C40",3
"26",23,9,"3DD.003BB9A741",4
"27",23,10,"3DD.003BB9AEC6",8
"28",23,10,"3DD.003BCF2B25",3
"29",23,10,"3DD.003C06F724",3
"30",23,10,"3DD.003C06F76C",3
"31",23,10,"3DD.003C06F78A",3
"32",24,11,"3D9.2794E89517",25
"33",24,11,"3DD.003BB9A741",94
"34",24,12,"3D9.2794E839EB",16
"35",24,12,"3DD.003BB9AF5A",27
"36",24,12,"3DD.003BCF38D6",3
"37",24,12,"3DD.003C06F796",3
"38",24,13,"3D9.2794E825AE",5
"39",24,13,"3D9.2794E839EB",5
"40",24,13,"3DD.003BA07EE6",3
"41",24,13,"3DD.003BB9AEC2",20
"42",24,13,"3DD.003BB9AF5A",8
"43",24,14,"3DD.003BB9AEC2",1
"44",24,14,"3DD.003BB9AF5A",2
"45",24,15,"3DD.003BFC4D24",5
"46",24,17,"3DD.003BB9A8B6",9
"47",25,18,"3D9.2794E839EB",9
"48",25,18,"3DD.003BB9AF5A",18
"49",25,20,"3D9.2794E839EB",11
"50",25,20,"3DD.003BB9AF5A",18
"51",25,21,"3D9.2794EA0A71",17
"52",25,21,"3DD.003BB9A724",3
"53",25,24,"3D9.2794EAA68A",5
"54",25,24,"3DD.003BB9A76E",5
"55",26,26,"3DD.003C06F683",101
"56",26,26,"3DD.003C06F78C",5
"57",26,27,"3D9.2794E9BC45",1
"58",26,27,"3DD.003BB9AED5",4
