"","x"
"1","3DD.003BA20BEB"
"2","3DD.003C06F67E"
"3","3DD.003C06F6A0"
"4","3DD.003C06F762"
"5","3DD.003C06F77E"
"6","3DD.003C06F68C"
"7","3DD.003C06F68A"
"8","3DD.003C06F6A9"
"9","3DD.003C06F673"
"10","3DD.003C06F68B"
"11","3DD.003C06F669"
"12","3DD.003C06F654"
"13","3DD.003C06F7A1"
"14","3DD.003C06F690"
"15","3DD.003C06F64B"
"16","3DD.003C06F679"
"17","3DD.003C06F66A"
"18","3DD.003C06F666"
"19","3DD.003C06F7D3"
"20","3DD.003BA20F44"
"21","3DD.003C06F687"
"22","3DD.003C06F7B9"
"23","3DD.003C06F68D"
"24","3DD.003C06F694"
"25","3DD.003BA20F47"
"26","3DD.003C06F67D"
"27","3DD.003BA20FF2"
"28","3DD.003C06F68E"
"29","3DD.003C06F72A"
"30","3DD.003C06F6AD"
"31","3DD.003C06F670"
"32","3DD.003BA20F5D"
"33","3DD.003C06F75E"
"34","3DD.003C06F746"
"35","3DD.003C06F69F"
"36","3DD.003C06F71A"
"37","3DD.003C06F7A5"
"38","3DD.003C06F71E"
"39","3DD.003C06F66B"
"40","3DD.003C06F699"
"41","3DD.003C06F726"
"42","3DD.003C06F651"
"43","3DD.003C06F691"
"44","3DD.003C06F67A"
"45","3DD.003C06F6AB"
"46","3DD.003C06F656"
"47","3DD.003C06F749"
"48","3DD.003C06F6F6"
"49","3DD.003C06F675"
"50","3DD.003C06F70A"
"51","3DD.003C06F708"
"52","3DD.003C06F70E"
"53","3DD.003C06F6E9"
"54","3DD.003BA20F75"
"55","3DD.003C06F6B7"
"56","3DD.003BA20F87"
"57","3DD.003C06F6E3"
"58","3DD.003C06F706"
"59","3DD.003C06F6E6"
"60","3DD.003BA20F70"
"61","3DD.003BA20F5C"
"62","3DD.003C06F6E1"
"63","3DD.003C06F6E4"
"64","3DD.003C06F683"
"65","3DD.003C06F663"
"66","3DD.003C06F6DD"
"67","3DD.003C06F6E2"
"68","3DD.003C06F6C9"
"69","3DD.003C06F6B0"
"70","3DD.003C06F6BA"
"71","3DD.003C06F6B8"
"72","3DD.003C06F6DA"
"73","3DD.003C06F6F8"
"74","3DD.003BA20F72"
"75","3DD.003BA20F8B"
"76","3DD.003C06F6EB"
"77","3DD.003C06F704"
"78","3DD.003C06F6D6"
"79","3DD.003C06F6C6"
"80","3DD.003C06F6E0"
"81","3DD.003C06F701"
"82","3DD.003BA20F6A"
"83","3DD.003C06F6F2"
"84","3DD.003C06F6EE"
"85","3DD.003C06F6CE"
"86","3DD.003BA20BEC"
"87","3DD.003BA20F37"
"88","3DD.003C06F652"
"89","3DD.003C06F6A6"
"90","3DD.003C06F798"
"91","3DD.003C06F6CD"
"92","3DD.003C06F6FC"
"93","3DD.003C06F6B9"
"94","3DD.003C06F6B2"
"95","3DD.003C06F6FB"
"96","3DD.003C06F6BF"
"97","3DD.003C06F696"
"98","3DD.003BA20F35"
"99","3DD.003C06F6E5"
"100","3DD.003C06F700"
"101","3DD.003C06F6D7"
"102","3DD.003C06F6A7"
"103","3DD.003C06F658"
"104","3DD.003C06F67C"
"105","3DD.003C06F6D3"
"106","3DD.003C06F650"
"107","3DD.003C06F698"
"108","3DD.003C06F6C0"
"109","3DD.003C06F6B3"
"110","3DD.003C06F6BE"
"111","3DD.003C06F6BD"
"112","3DD.003C06F64A"
"113","3DD.003C06F692"
"114","3DD.003BA20F8D"
"115","3DD.003C06F6DE"
"116","3DD.003C06F67F"
"117","3DD.003C06F724"
"118","3DD.003C06F6CA"
"119","3DD.003C06F6BC"
"120","3DD.003C06F7BB"
"121","3DD.003BA20C63"
"122","3DD.003C06F78D"
